Time,card_11_avg_CPU,card_12_avg_CPU,card_13_avg_CPU,card_14_avg_CPU,card_15_avg_CPU,card_16_avg_CPU,card_17_avg_CPU
03/01/2017 12:52,10.125,9.0625,10.0625,11.125,8.75,8.4375,8.875
03/01/2017 12:53,10.625,8.8125,10.25,10.875,9.0625,8.6875,8.6875
03/01/2017 12:54,10.1875,9.125,10.1875,11,9.0625,9,8.6875
03/01/2017 12:55,10.375,8.8125,10.5625,10.875,9,8.8125,8.8125
03/01/2017 12:56,10.375,8.8125,10.5625,10.875,9,8.8125,8.8125
03/01/2017 12:57,10.25,9.0625,10.375,11.1875,9.125,8.875,8.5
03/01/2017 12:58,10.625,8.9375,10.3125,10.8125,8.75,8.75,8.75
03/01/2017 12:59,10.5625,8.9375,10.125,10.9375,8.75,9.0625,8.4375
03/01/2017 13:00,10.6875,9.25,10.375,11.0625,9,8.9375,8.875
03/01/2017 13:01,10.5,9.1875,10.4375,11.3125,9.0625,9.1875,8.875
03/01/2017 13:02,10.8125,9.3125,10.625,10.875,8.9375,8.75,8.875
03/01/2017 13:03,10.5,9,10.3125,11,8.75,9.25,8.8125
03/01/2017 13:04,10.8125,9.0625,10.5625,10.8125,8.9375,8.875,8.6875
03/01/2017 13:05,10.6875,8.8125,10.3125,11.125,8.6875,9.375,9.125
03/01/2017 13:06,10.8125,8.9375,10.375,11,9,8.9375,8.625
03/01/2017 13:07,10.5,8.9375,10.375,10.9375,8.75,9.1875,9.0625
03/01/2017 13:08,10.9375,8.875,10.375,10.75,8.75,8.75,8.6875
03/01/2017 13:09,10.625,8.9375,10.125,11.0625,8.6875,9.125,8.9375
03/01/2017 13:10,10.9375,8.9375,10.625,10.9375,8.875,8.8125,8.8125
03/01/2017 13:11,10.9375,8.9375,10.625,10.9375,8.875,8.8125,8.8125
03/01/2017 13:12,10.4375,9.1875,10.25,11.1875,8.9375,9.0625,8.625
03/01/2017 13:13,11,8.75,10.4375,11.1875,8.5625,8.875,8.875
03/01/2017 13:14,10.5,9.1875,10.0625,11.25,8.9375,9.125,8.4375
03/01/2017 13:15,10.875,8.6875,10.125,11.125,8.5625,9,9
03/01/2017 13:16,10.5625,9.125,10,10.9375,8.875,9.125,8.5625
03/01/2017 13:17,10.875,9.25,10.625,10.9375,8.5,9.1875,8.875
03/01/2017 13:18,10.5625,9.125,10.0625,11.0625,8.875,8.9375,8.9375
03/01/2017 13:19,10.8125,9.1875,10.375,11,8.5,9,8.875
03/01/2017 13:20,10.6875,9.125,10.3125,11.125,8.625,8.9375,9.125
03/01/2017 13:21,10.8125,9.1875,10.375,11,8.5625,9,8.75
03/01/2017 13:22,10.75,8.8125,10.1875,10.9375,8.625,8.5,9.1875
03/01/2017 13:23,11.125,9,10.625,10.875,8.875,8.9375,8.6875
03/01/2017 13:24,10.75,8.8125,10.25,10.9375,8.5625,8.6875,9
03/01/2017 13:25,10.75,8.8125,10.25,10.9375,8.5625,8.6875,9
03/01/2017 13:26,11.1875,9.375,10.625,11.0625,9.1875,8.75,8.75
03/01/2017 13:27,10.875,8.9375,10.0625,11.1875,8.875,8.9375,8.875
03/01/2017 13:28,11.0625,9.0625,10.6875,11,8.8125,8.875,9.25
03/01/2017 13:29,10.625,8.9375,10.375,10.9375,8.875,9,8.9375
03/01/2017 13:30,10.9375,8.9375,10.625,11.0625,8.75,9,9.25
03/01/2017 13:31,10.9375,9,10.375,11.125,9.125,9.25,9
03/01/2017 13:32,11.1875,8.9375,10.8125,11.375,8.8125,8.625,9.125
03/01/2017 13:33,10.5625,9.25,10.5,11.1875,9,9.0625,9.25
03/01/2017 13:34,11.125,8.75,10.875,11.25,8.75,8.75,9
03/01/2017 13:35,10.8125,9.1875,10.375,10.9375,9.25,9,8.9375
03/01/2017 13:36,11.0625,8.875,10.5625,11.0625,8.75,8.875,9
03/01/2017 13:37,10.6875,8.9375,10.0625,11.0625,9,8.9375,9.1875
03/01/2017 13:38,10.9375,9,10.625,11.375,8.875,8.9375,8.625
03/01/2017 13:39,10.9375,9,10.625,11.375,8.875,8.9375,8.625
03/01/2017 13:40,10.8125,9.0625,10.25,11.1875,8.875,8.8125,9.1875
03/01/2017 13:41,11.25,9.1875,10.75,11.4375,9.0625,9,8.9375
03/01/2017 13:42,10.625,9.125,10.4375,11.0625,8.875,8.5625,9.0625
03/01/2017 13:43,11.3125,9.125,10.875,11.1875,9.125,8.8125,9.3125
03/01/2017 13:44,11,9.125,10.625,11.1875,8.8125,8.875,9
03/01/2017 13:45,11.1875,9.3125,10.5625,11.3125,9.3125,9.25,9.0625
03/01/2017 13:46,10.9375,9.0625,10.5,11.125,8.8125,8.75,8.75
03/01/2017 13:47,11.125,9.25,10.625,11.125,9.0625,9.125,9.0625
03/01/2017 13:48,10.8125,8.875,10.75,10.9375,8.9375,8.9375,8.875
03/01/2017 13:49,11.3125,9.125,10.6875,11.375,9.125,9.0625,9.125
03/01/2017 13:50,10.875,9.0625,10.8125,11.3125,9.125,9.125,9.25
03/01/2017 13:51,11.375,9.1875,10.75,11.3125,9,8.9375,9.125
03/01/2017 13:52,10.875,9.125,10.6875,11.0625,9.1875,9.25,9.1875
03/01/2017 13:53,10.875,9.125,10.6875,11.0625,9.1875,9.25,9.1875
03/01/2017 13:54,11.3125,9.25,10.8125,11.5,9,8.9375,9.0625
03/01/2017 13:55,10.75,9.1875,10.6875,11,9.25,9.125,9.1875
03/01/2017 13:56,11.125,9.0625,10.625,11.125,8.9375,8.875,9
03/01/2017 13:57,10.75,9.375,10.75,10.8125,9.1875,9.1875,9.0625
03/01/2017 13:58,11.0625,8.9375,10.3125,11.3125,8.8125,8.75,9.0625
03/01/2017 13:59,10.5625,9.1875,10.3125,10.9375,8.9375,8.875,8.8125
03/01/2017 14:00,10.9375,8.75,10.25,11.125,9.1875,8.75,8.875
03/01/2017 14:01,10.5625,9,10.5625,10.8125,9,8.875,8.875
03/01/2017 14:02,10.8125,8.8125,10.375,11.3125,8.9375,9,9.0625
03/01/2017 14:03,10.625,9,10.375,10.75,8.6875,8.9375,8.375
03/01/2017 14:04,10.8125,9.125,10.375,11.125,9,8.875,8.75
03/01/2017 14:05,10.75,8.8125,10.4375,10.875,9,8.4375,8.6875
03/01/2017 14:06,10.9375,9,10.125,11.25,8.75,8.9375,8.75
03/01/2017 14:07,10.9375,9,10.125,11.25,8.75,8.9375,8.75
03/01/2017 14:08,10.6875,8.9375,10.5625,10.75,8.8125,8.5,8.875
03/01/2017 14:09,10.8125,9,10.25,10.875,8.75,9.0625,8.6875
03/01/2017 14:10,10.4375,8.8125,10.1875,10.75,8.8125,8.75,8.9375
